Project,Project Name,Description,Project ID,Work Category Description,Sdescrip,Slineid,Svoltage,Span Start,Span End,Division Description,Division Code,SRA LRA,Complete Date Plan (PI),Complete Date Plan (Trim),Complete Date Forecast (PI),Start Date Actual (PI),Complete Date Actual (PI),Start Date Actual (Trim),Complete Date Forecast (Trim),Complete Date Actual (Trim),Cycle Name,DT Start Date,DT End Date,Project Category,Dist / Trans,Project Year,LRA Mi,SRA Mi,Actual PI,Forecast PI,Actual Trim,Totalmiles,Text Description,Bnerc,Voltage List,Bmajortransferpath,bMajorTransferPath
GUALALA-MONTE RIO,CR Oil-Witco,Discovery 115kv Tap,136983,System Maintenence,KERN OIL-WITCO,10118,115,KOI/SUB,WIT/COG,Kern,KE,,12/25/2015,2/5/2016,2/12/2016,,,,3/25/2016 0:00:00,,,,,RS,T,2016,0,0,0,2,0,7.269999981,Non NERC,0,115,0,0
Kingsburg - Lemoore,CR Oil-Witco,Discovery 115kv Tap,136983,System Maintenence,Discovery 115kv Tap,10118A,115,001/012,DIS/SUB,Kern,KE,,12/25/2015,2/5/2016,2/12/2016,,,,3/25/2016 0:00:00,,,,,RS,T,2016,0,0,0,2,0,7.269999981,Non NERC,0,115,0,0
Mendota Biomass 70kv Tap,CR Oil-Witco,Discovery 115kv Tap,136983,System Maintenence,Witco (COGEN) 115kv Tap,10123B,115,002/019A,WIT/COG,Kern,KE,,12/25/2015,2/5/2016,2/12/2016,,,,3/25/2016 0:00:00,,,,,RS,T,2016,0,0,0,2,0,7.269999981,Non NERC,0,115,0,0
Penngrove Sub 115kv Tap,CR Oil-Witco,Discovery 115kv Tap,136983,System Maintenence,Kern Oil-Dexzel,10117,115,KOI/SUB,DEX/COG,Kern,KE,,12/25/2015,2/5/2016,2/12/2016,,,,3/25/2016 0:00:00,,,,,RS,T,2016,0,0,0,2,0,7.269999981,Non NERC,0,115,0,0
Kingsburg - Lemoore,District 1001 60kv Tap,District 1001 60kv Tap,132031,Orchard Maintenance,District 1001 60kv Tap,60167A,60,000/001A,001/030,Sacramento,SA,,12/12/2015,1/23/2016,11/12/2015,11/10/2015,11/12/2015,11/25/2015,1/23/2016 0:00:00,,,,,OM,T,2016,0,0,18,18,0,,Orchards,0,60,0,0
CR-Gates Panoche-1,District 1500 60kv Tap,District 1500 60kv Tap,132040,Orchard Maintenance,District 1500 60kv Tap,60168A,60,000/001,002/069,Sacramento,SA,,12/12/2015,1/23/2016,11/13/2015,11/13/2015,11/13/2015,1/2/2016,1/2/2016 0:00:00,1/2/2016 0:00:00,,,,OM,T,2016,0,0,0,0,0,,Orchards,0,60,0,0
CR - Blasingame,Dolan RD #1 115kv Tap,Dolan RD #1 115kv Tap,135044,System Maintenence,Dolan RD #1 115kv Tap,10216A,115,000/001A,Dol/sub,Central Coast,CC,S,3/31/2016,4/9/2016,3/31/2016,,,,4/9/2016 0:00:00,,Annual Cycle,1/1/2016,12/31/2016,RS,T,2016,0,0.310000002,0,0,0,0.400000006,CR,0,115,0,0
CR - Blasingame,Dolan RD #1 115kv Tap,Dolan RD #1 115kv Tap,135044,System Maintenence,Dolan RD #2 115kv Tap,10217A,115,000/001B,Dol/sub,Central Coast,CC,S,3/31/2016,4/9/2016,3/31/2016,,,,4/9/2016 0:00:00,,Annual Cycle,1/1/2016,12/31/2016,RS,T,2016,0,0.310000002,0,0,0,0.400000006,CR,0,115,0,0
CR - Blasingame,Dolan RD #2 115kv Tap,Dolan RD #2 115kv Tap,134379,System Maintenence,Dolan RD #2 115kv Tap,10217A,115,000/001B,Dol/sub,Central Coast,CC,S,3/19/2016,3/19/2016,3/19/2016,,,,3/19/2016 0:00:00,,Annual Cycle,1/1/2016,12/31/2016,RS,T,2016,0,0.340000004,0,0,0,0.340000004,*,0,115,0,0
Camden - Kingsburg,Donnells-Curtis,Donnells-Curtis,134823,System Maintenence,Donnells-Curtis,10053,115,000/001,026/006,Stockton,ST,S,7/16/2016,8/27/2016,7/16/2016,,,,8/27/2016 0:00:00,,,,,RS,T,2016,0,26.81999969,0,231,0,30,115kV,0,115,0,0
