Project,Project Name,Description,Project ID,Work Category Description,Sdescrip,Slineid,Svoltage,Span Start,Span End,Division Description,Division Code,SRA LRA,Complete Date Plan (PI),Complete Date Plan (Trim),Complete Date Forecast (PI),Start Date Actual (PI),Complete Date Actual (PI),Start Date Actual (Trim),Complete Date Forecast (Trim),Complete Date Actual (Trim),Cycle Name,DT Start Date,DT End Date,Project Category,Dist / Trans,Project Year,LRA Mi,SRA Mi,Actual PI,Forecast PI,Actual Trim,Totalmiles,Text Description,Bnerc,Voltage List,Bmajortransferpath,bMajorTransferPath
DEL MONTE-FORT ORD #1,Air Products Tap,Air Products Tap,136390,System Maintenence,Air Products Tap,10157C,115,000/001,000/006,Fresno,FR,S,6/27/2016,6/27/2016,6/27/2016,,,,6/27/2016 0:00:00,,,,,RS,T,2016,0,0.349999994,0,1,0,5.289999962,115Kv,0,115,0,0
Moss Landing-Salinas #2,Almenda Jct-Nicolaus,ALMENDA JCT-NICOLAUS,132103,Orchard Maintenance,ALMENDA JCT-NICOLAUS,60001,60,000/001,024/484,Sacramento,SA,,10/22/2016,11/26/2016,10/22/2016,,,,11/26/2016 0:00:00,,,,,OM,T,2016,0,0,0,10,0,,Orchards,0,60,0,0
Green Valley-Watsonville,Amfor 60kv Tap,Amfor 60kv Tap,134753,Local Maintenance,Amfor 60kv Tap,60224A,60,012/012,00A/020,Stockton,ST,S,12/23/2015,12/23/2015,12/11/2015,12/10/2015,12/11/2015,12/11/2015,12/11/2015 0:00:00,12/11/2015 0:00:00,,,,RT,T,2016,0,1.25,0,0,0,1.25,,0,60,0,0
Green Valley-Watsonville,Antelope Tap,Antelope 70kv Tap,132134,Orchard Maintenance,Antelope 70kv Tap,70002B,70,000/001,004/058,Kern,KE,L,1/23/2016,3/5/2016,12/29/2015,12/29/2015,12/29/2015,1/2/2016,1/2/2016 0:00:00,1/2/2016 0:00:00,,,,OM,T,2016,1.100000024,0,0,0,0,0,Orchards,0,70,0,0
CR MW-KE-RioB-Renfro,CR Kern-Magunden,Antelope 70kv Tap,137187,Local Maintenance,Fruitvale 70kv Tap,70048A,70,000/001,FRT/SUB,Kern,KE,,12/1/2015,1/12/2016,12/2/2015,11/16/2015,12/2/2015,1/6/2016,2/26/2016 0:00:00,,,,,RT,T,2016,0,0,5,5,0,22.72999954,70kv,0,70,0,0
ELK-GUALALA,CR Kern-Magunden,Antelope 70kv Tap,137187,Local Maintenance,KERN-MAGUNDEN,70048,70,006/048,012/168,Kern,KE,,12/1/2015,1/12/2016,12/2/2015,11/16/2015,12/2/2015,1/6/2016,2/26/2016 0:00:00,,,,,RT,T,2016,0,0,5,5,0,22.72999954,70kv,0,70,0,0
Kelley Tap,CR Kern-Magunden,Antelope 70kv Tap,137187,Local Maintenance,Eisen 70kv Tap,70048C,70,009/107,EIS/SUB,Kern,KE,,12/1/2015,1/12/2016,12/2/2015,11/16/2015,12/2/2015,1/6/2016,2/26/2016 0:00:00,,,,,RT,T,2016,0,0,5,5,0,22.72999954,70kv,0,70,0,0
Laytonville-Willits,CR Kern-Magunden,Antelope 70kv Tap,137187,Local Maintenance,KERN-MAGUNDEN,70048,70,KPR/SUB,MAG/SUB,Kern,KE,,12/1/2015,1/12/2016,12/2/2015,11/16/2015,12/2/2015,1/6/2016,2/26/2016 0:00:00,,,,,RT,T,2016,0,0,5,5,0,22.72999954,70kv,0,70,0,0
Mendocino-Hartley 60kv-(Inland),CR Kern-Magunden,Antelope 70kv Tap,137187,Local Maintenance,Kern-Fruitvale,70046,70,KPR/SUB,FRT/SUB,Kern,KE,,12/1/2015,1/12/2016,12/2/2015,11/16/2015,12/2/2015,1/6/2016,2/26/2016 0:00:00,,,,,RT,T,2016,0,0,5,5,0,22.72999954,70kv,0,70,0,0
CR-Aerial Patrol,CR Taft-Cuyama,Antelope 70kv Tap,137188,Local Maintenance,Taft-Cuyama #1,70080,70,TFT/SUB,CUY/SUB,Kern,KE,,7/1/2016,8/12/2016,7/1/2016,,,,8/12/2016 0:00:00,,,,,RT,T,2016,0,0,0,5,0,37.90000153,70kv,0,70,0,0
CR-Aerial Patrol,CR Taft-Cuyama,Antelope 70kv Tap,137188,Local Maintenance,Taft-Cuyama #2,70081,70,TFT/SUB,CUY/SUB,Kern,KE,,7/1/2016,8/12/2016,7/1/2016,,,,8/12/2016 0:00:00,,,,,RT,T,2016,0,0,0,5,0,37.90000153,70kv,0,70,0,0
Coburn-Oil Fields #1,CR Arco-Tulare,Antelope 70kv Tap,137189,Local Maintenance,Arco-Tulare Lake,70004,70,ARC/SUB,TUL/SUB,Kern,KE,,8/31/2016,10/12/2016,8/31/2016,,,,10/12/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,4.269999981,70kv,0,70,0,0
CR-Burney to Round Mtn,CR Arco-Tulare,Antelope 70kv Tap,137189,Local Maintenance,Lost Hills 70kv Tap,70003A,70,000/015,LSH/SUB,Kern,KE,,8/31/2016,10/12/2016,8/31/2016,,,,10/12/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,4.269999981,70kv,0,70,0,0
Fulton-Calistoga (Sonoma),CR Arco-Tulare,Antelope 70kv Tap,137189,Local Maintenance,Las Perillas Tap,70004C,70,004/074,LPR/SUB,Kern,KE,,8/31/2016,10/12/2016,8/31/2016,,,,10/12/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,4.269999981,70kv,0,70,0,0
METCALF-GREEN VALLEY,CR Arco-Tulare,Antelope 70kv Tap,137189,Local Maintenance,Badger Hill 70kv Tap,70003B,70,004/066,BGH/SUB,Kern,KE,,8/31/2016,10/12/2016,8/31/2016,,,,10/12/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,4.269999981,70kv,0,70,0,0
CR-Aerial Patrol,CR Arco-Barrenda-Cholame,Antelope 70kv Tap,137191,Local Maintenance,Berrenda A 70kv Tap,70002A,70,008/090,BDA/SUB,Kern,KE,,8/24/2016,10/5/2016,8/24/2016,,,,10/5/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,34.04000092,70kv,0,70,0,0
CR-Aerial Patrol,CR Arco-Barrenda-Cholame,Antelope 70kv Tap,137191,Local Maintenance,Berrenda C 70kv Tap,70002C,70,003/046,BDC/SUB,Kern,KE,,8/24/2016,10/5/2016,8/24/2016,,,,10/5/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,34.04000092,70kv,0,70,0,0
Crusher 60kv Tap,CR Arco-Barrenda-Cholame,Antelope 70kv Tap,137191,Local Maintenance,Arco-Polonio Pass PP,70003,70,ARC/SUB,017/295,Kern,KE,,8/24/2016,10/5/2016,8/24/2016,,,,10/5/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,34.04000092,70kv,0,70,0,0
Dean Foods Tap 60 kv,CR Arco-Barrenda-Cholame,Antelope 70kv Tap,137191,Local Maintenance,Arco-Cholame,70002,70,ARC/SUB,016/156,Kern,KE,,8/24/2016,10/5/2016,8/24/2016,,,,10/5/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,34.04000092,70kv,0,70,0,0
Moss Landing Interplant 230,CR Arco-Barrenda-Cholame,Antelope 70kv Tap,137191,Local Maintenance,Antelope 70kv Tap,70002B,70,002/025,ANT/SUB,Kern,KE,,8/24/2016,10/5/2016,8/24/2016,,,,10/5/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,34.04000092,70kv,0,70,0,0
Camp Evers-Paul Sweet,Arburua 70kv Tap,Arburua 70kv Tap,136011,Local Maintenance,Arburua 70kv Tap,70053B,70,000/001,003/005,Yosemite,YO,,5/16/2016,6/27/2016,3/11/2016,,,,3/11/2016 0:00:00,,,,,RT,T,2016,0,0,0,0,0,3,,0,70,0,0
Fresh Express 60kv Tap,Arcata-Humboldt,Arcata-Humboldt,135024,Local Maintenance,Arcata-Humboldt,60386,60,SUB,005/012,North Coast,NC,S,11/2/2016,12/22/2016,11/2/2016,,,,12/22/2016 0:00:00,,,,,RT,T,2016,0,12,0,54,0,7.260000229,Lotus Blue Butterfly,0,60,0,0
Moss Landing-Los Banos,Arcata-Humboldt,Arcata-Humboldt,135024,Local Maintenance,Arcata-Humboldt,60386,60,000/001,SUB/SUB,North Coast,NC,S,11/2/2016,12/22/2016,11/2/2016,,,,12/22/2016 0:00:00,,,,,RT,T,2016,0,12,0,54,0,7.260000229,Lotus Blue Butterfly,0,60,0,0
Oil Fields-Sargent Canyon,Arco-Carneras,Arco-Carneras,132111,Orchard Maintenance,Arco-Carneras,70001,70,000/001,017/282,Kern,KE,L,6/11/2016,11/19/2016,6/11/2016,,,,11/19/2016 0:00:00,,,,,OM,T,2016,4.099999905,0,0,1,0,,Orchards,0,70,0,0
Burns-Lone Star #2,Arco-Cholame,Arco-Cholame,137885,Local Maintenance,Arco-Cholame,70002,70,016/156,CHO/SUB,Los Padres,LP,,7/8/2016,8/22/2016,7/8/2016,,,,8/22/2016 0:00:00,,,,,RT,T,2016,0,0,0,0,0,8.380000114,70kv,0,70,0,0
CR-Coburn Panoche,San Luis Obispo-Santa Maria,Arco-Cholame,136048,Local Maintenance,San Luis Obispo-Santa Maria - 70kv,70070,70,002/045,015/262,Los Padres,LP,,11/14/2016,12/29/2016,11/14/2016,,,,12/29/2016 0:00:00,,,,,RT,T,2016,0,0,0,0,0,13.25,70kv,0,70,0,0
CR-Gates Panoche-1,Divide-Zaca-Lompoc,Arco-Cholame,136272,Local Maintenance,Divide-Zaca-Lompoc,70022,70,DIV/SUB,LOM/SUB,Los Padres,LP,,10/19/2016,11/30/2016,10/19/2016,,,,11/30/2016 0:00:00,,,,,RT,T,2016,0,0,0,0,0,10.47999954,70kv,0,70,0,0
CASCADE-COTTONWOOD,CR Semitropic-Wasco-Famoso,Arco-Polonio Pass PP,137186,Local Maintenance,Mc Farland 70kv Tap,70077A,70,008/154,MCF/SUB,Kern,KE,,11/27/2015,1/8/2016,12/28/2015,12/23/2015,12/28/2015,12/29/2015,12/29/2015 0:00:00,12/29/2015 0:00:00,,,,RT,T,2016,0,0,0,0,0,11.10000038,70kv,0,70,0,0
CR-Aerial Patrol Non-NERC (Sonoma),CR Kern-Kern Oil-Famoso,Arco-Polonio Pass PP,137178,Local Maintenance,Kern-Kern Oil-Famoso,70047,70,004/032,FAM/SUB,Kern,KE,,11/20/2015,1/1/2016,1/29/2016,,,,2/5/2016 0:00:00,,,,,RT,T,2016,0,0,0,5,0,23.19000053,70kv,0,70,0,0
CR-Aerial Patrol Non-NERC (Sonoma),CR Kern-Kern Oil-Famoso,Arco-Polonio Pass PP,137178,Local Maintenance,Kern-Kern Oil-Famoso,70047,70,KPR/SUB,KOI/SUB,Kern,KE,,11/20/2015,1/1/2016,1/29/2016,,,,2/5/2016 0:00:00,,,,,RT,T,2016,0,0,0,5,0,23.19000053,70kv,0,70,0,0
CR-McCall-Kingsburg,CR Kern-Kern Oil-Famoso,Arco-Polonio Pass PP,137178,Local Maintenance,Cawelo B Tap,70047B,70,007/099,CWB/SUB,Kern,KE,,11/20/2015,1/1/2016,1/29/2016,,,,2/5/2016 0:00:00,,,,,RT,T,2016,0,0,0,5,0,23.19000053,70kv,0,70,0,0
CR-Tesla-Los Banos,CR Semitropic-Wasco-Famoso,Arco-Polonio Pass PP,137186,Local Maintenance,Semitropic-Wasco 70kv,70077,70,SEM/SUB,WAS/SUB,Kern,KE,,11/27/2015,1/8/2016,12/28/2015,12/23/2015,12/28/2015,12/29/2015,12/29/2015 0:00:00,12/29/2015 0:00:00,,,,RT,T,2016,0,0,0,0,0,11.10000038,70kv,0,70,0,0
CR-VACA-TESLA 500KV,CR Kern-Old River,Arco-Polonio Pass PP,137183,Local Maintenance,Carnation 70kv Tap,70050A,70,004/033,CRN/SUB,Kern,KE,,3/11/2016,4/22/2016,12/17/2015,12/2/2015,12/17/2015,1/6/2016,4/22/2016 0:00:00,,,,,RT,T,2016,0,0,1,1,0,25.55999947,70kv,0,70,0,0
Lakeville #2,CR Kern-Old River,Arco-Polonio Pass PP,137183,Local Maintenance,KERN-OLD RIVER #1,70049,70,KPR/SUB,ORV/SUB,Kern,KE,,3/11/2016,4/22/2016,12/17/2015,12/2/2015,12/17/2015,1/6/2016,4/22/2016 0:00:00,,,,,RT,T,2016,0,0,1,1,0,25.55999947,70kv,0,70,0,0
Lakeville #2,CR Kern-Old River,Arco-Polonio Pass PP,137183,Local Maintenance,KERN-OLD RIVER #2,70050,70,KPR/SUB,ORV/SUB,Kern,KE,,3/11/2016,4/22/2016,12/17/2015,12/2/2015,12/17/2015,1/6/2016,4/22/2016 0:00:00,,,,,RT,T,2016,0,0,1,1,0,25.55999947,70kv,0,70,0,0
Moss Landing-Del Monte #2,Arco-Polonio Pass PP,Arco-Polonio Pass PP,137886,Local Maintenance,Arco-Polonio Pass PP,70003,70,017/295,POL/SUB,Los Padres,LP,,7/11/2016,8/25/2016,7/11/2016,,,,8/25/2016 0:00:00,,,,,RT,T,2016,0,0,0,0,0,0.379999995,70kv,0,70,0,0
Panoche-Mendota,CR Semitropic-Wasco-Famoso,Arco-Polonio Pass PP,137186,Local Maintenance,Wasco Famoso 70 kv,70117,70,WAS/SUB,FAM/SUB,Kern,KE,,11/27/2015,1/8/2016,12/28/2015,12/23/2015,12/28/2015,12/29/2015,12/29/2015 0:00:00,12/29/2015 0:00:00,,,,RT,T,2016,0,0,0,0,0,11.10000038,70kv,0,70,0,0
Coburn-Oil Fields #1,Arco-Tulare Lake,Arco-Tulare Lake,132177,Orchard Maintenance,Arco-Tulare Lake,70004,70,009/151,016/251,Kern,KE,L,6/18/2016,11/26/2016,6/18/2016,,,,11/26/2016 0:00:00,,,,,OM,T,2016,4,0,0,1,0,,Orchards,0,70,0,0
CR-Lawerence,CR Wheeler Ridge-Weedpatch,Arco-Twissleman,137206,Local Maintenance,San Bernard-Tejon,70068,70,SNB/SUB,TEJ/SUB,Kern,KE,,6/8/2016,7/20/2016,6/8/2016,12/29/2015,,,7/20/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,55.65000153,70kv,0,70,0,0
CR-LOS BANOS-PANOCHE,CR Kern Canyon-Weedpatch,Arco-Twissleman,137201,Local Maintenance,Weedpatch-Wellfield,70088,70,WED/SUB,WEL/SUB,Kern,KE,,5/2/2016,6/13/2016,12/22/2015,12/18/2015,12/22/2015,12/22/2015,12/22/2015 0:00:00,12/22/2015 0:00:00,,,,RT,T,2016,0,0,0,0,0,28.93000031,70kv,0,70,0,0
CR-Metcalf-El Patio,CR Kern Canyon-Weedpatch,Arco-Twissleman,137201,Local Maintenance,Rio Bravo Hydro,70067,70,001/024,HYD/SUB,Kern,KE,,5/2/2016,6/13/2016,12/22/2015,12/18/2015,12/22/2015,12/22/2015,12/22/2015 0:00:00,12/22/2015 0:00:00,,,,RT,T,2016,0,0,0,0,0,28.93000031,70kv,0,70,0,0
CR-STOCKTON A-WEBER #1,CR Wheeler Ridge-Weedpatch,Arco-Twissleman,137206,Local Maintenance,Weedpatch-San Bernard,70087,70,WED/SUB,SNB/SUB,Kern,KE,,6/8/2016,7/20/2016,6/8/2016,12/29/2015,,,7/20/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,55.65000153,70kv,0,70,0,0
CR-STOCKTON A-WEBER #1,CR Kern Canyon-Weedpatch,Arco-Twissleman,137201,Local Maintenance,Weedpatch-Temp-Shoofly 70Kv,TEMP,70,000/001,016/298,Kern,KE,,5/2/2016,6/13/2016,12/22/2015,12/18/2015,12/22/2015,12/22/2015,12/22/2015 0:00:00,12/22/2015 0:00:00,,,,RT,T,2016,0,0,0,0,0,28.93000031,70kv,0,70,0,0
Exchequer-Le Grande,CR Wheeler Ridge-Weedpatch,Arco-Twissleman,137206,Local Maintenance,Wheeler Ridge-San Bernard,70090,70,WRG/SUB,SNB/SUB,Kern,KE,,6/8/2016,7/20/2016,6/8/2016,12/29/2015,,,7/20/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,55.65000153,70kv,0,70,0,0
Exchequer-Le Grande,CR Wheeler Ridge-Weedpatch,Arco-Twissleman,137206,Local Maintenance,Wheeler Ridge-Weedpatch,70092,70,009/121,010/143,Kern,KE,,6/8/2016,7/20/2016,6/8/2016,12/29/2015,,,7/20/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,55.65000153,70kv,0,70,0,0
Exchequer-Le Grande,CR Wheeler Ridge-Weedpatch,Arco-Twissleman,137206,Local Maintenance,Wheeler Ridge-Weedpatch,70092,70,WED/SUB,009/121,Kern,KE,,6/8/2016,7/20/2016,6/8/2016,12/29/2015,,,7/20/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,55.65000153,70kv,0,70,0,0
Exchequer-Le Grande,CR Wheeler Ridge-Weedpatch,Arco-Twissleman,137206,Local Maintenance,Wheeler Ridge-Weedpatch,70092,70,WRG/SUB,WRJ/SUB,Kern,KE,,6/8/2016,7/20/2016,6/8/2016,12/29/2015,,,7/20/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,55.65000153,70kv,0,70,0,0
Moss Landing-Salinas #1,Arco-Twissleman,Arco-Twissleman,132074,Orchard Maintenance,Arco-Twissleman,70005,70,002/033,006/095,Kern,KE,L,6/18/2016,11/26/2016,6/18/2016,,,,11/26/2016 0:00:00,,,,,OM,T,2016,0.400000006,0,0,1,0,,Orchards,0,70,0,0
RIO DELL JCT-BRIDGEVILLE,CR Kern Canyon-Weedpatch,Arco-Twissleman,137201,Local Maintenance,Kern Canyon-Magunden-Weedpatch,70045,70,008/136,MAG/SUB,Kern,KE,,5/2/2016,6/13/2016,12/22/2015,12/18/2015,12/22/2015,12/22/2015,12/22/2015 0:00:00,12/22/2015 0:00:00,,,,RT,T,2016,0,0,0,0,0,28.93000031,70kv,0,70,0,0
ULTRA POWER 60KV TAP,CR Kern Canyon-Weedpatch,Arco-Twissleman,137201,Local Maintenance,Kern Canyon-Magunden-Weedpatch,70045,70,KYN/SUB,WED/SUB,Kern,KE,,5/2/2016,6/13/2016,12/22/2015,12/18/2015,12/22/2015,12/22/2015,12/22/2015 0:00:00,12/22/2015 0:00:00,,,,RT,T,2016,0,0,0,0,0,28.93000031,70kv,0,70,0,0
Wilson-Merced #2,CR Kern Canyon-Weedpatch,Arco-Twissleman,137201,Local Maintenance,Sycamore Tap 70Kv,70088A,70,003/068,SYC/SUB,Kern,KE,,5/2/2016,6/13/2016,12/22/2015,12/18/2015,12/22/2015,12/22/2015,12/22/2015 0:00:00,12/22/2015 0:00:00,,,,RT,T,2016,0,0,0,0,0,28.93000031,70kv,0,70,0,0
Wohler 60kv Tap,CR Kern Canyon-Weedpatch,Arco-Twissleman,137201,Local Maintenance,Lightner Tap 70kv,70045B,70,011/198,003/056,Kern,KE,,5/2/2016,6/13/2016,12/22/2015,12/18/2015,12/22/2015,12/22/2015,12/22/2015 0:00:00,12/22/2015 0:00:00,,,,RT,T,2016,0,0,0,0,0,28.93000031,70kv,0,70,0,0
Dolan RD #2 115kv Tap,Armstrong Tap,Armstrong 70kv Tap,134796,Local Maintenance,Armstrong 70kv Tap,70031B,70,000/001,000/010,Fresno,FR,S,6/4/2016,6/5/2016,6/4/2016,,,,6/5/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,1.429999948,70kV,0,70,0,0
KING CITY-COBURN #2,Atascadero-Cayucos,Atascadero-Cayucos,135608,Local Maintenance,Atascadero-Cayucos,70006,70,ATA/SUB,CAY/SUB,Los Padres,LP,S,2/8/2016,3/25/2016,2/8/2016,1/4/2016,,,3/25/2016 0:00:00,,,,,RT,T,2016,0,11.89999962,0,12,0,11.80000019,70kv,0,70,0,0
San Ardo 60kv Tap,Atascadero-San Luis Obispo,ATASCADERO-SAN LUIS OBISPO,135785,Local Maintenance,ATASCADERO-SAN LUIS OBISPO,70007,70,ATS/SUB,073/000,Los Padres,LP,S,11/25/2015,1/8/2016,12/29/2015,12/29/2015,12/29/2015,,2/1/2016 0:00:00,,,,,RT,T,2016,10,0,0,0,0,15.51000023,70kv,0,70,0,0
Corcoran - Angiola,Atwater Cressey 115kv Tap,Atwater Cressey 115kv Tap,136612,System Maintenence,CRESSEY 115kv TAP,10004C,115,000/001A,005/018,Stockton,ST,S,12/19/2015,1/30/2016,12/19/2015,,,,1/30/2016 0:00:00,,,,,RS,T,2016,0,6.119999886,0,17,0,10,,0,115,0,0
Monta Vista-Burns,Atwater Cressey Tap,Atwater Cressey 115kv Tap,132093,Orchard Maintenance,Atwater Cressey 115kv Tap,10460,115,sub/000,005/018,Stockton,ST,,9/17/2016,12/17/2016,9/17/2016,,,,12/17/2016 0:00:00,,,,,OM,T,2016,0,3.299999952,0,20,0,,Orchards,0,115,0,0
SOLEDAD #1,Atwater Cressey 115kv Tap,Atwater Cressey 115kv Tap,136612,System Maintenence,Atwater Cressey 115kv Tap,10460,115,000/001A,005/018,Stockton,ST,S,12/19/2015,1/30/2016,12/19/2015,,,,1/30/2016 0:00:00,,,,,RS,T,2016,0,6.119999886,0,17,0,10,,0,115,0,0
Gonzales #2 60kv Tap,ATWATER-MERCED,ATWATER-MERCED,136558,System Maintenence,ATWATER-MERCED,10004,115,000/001,000/001A,Stockton,ST,L,6/18/2016,7/30/2016,6/18/2016,,,,7/30/2016 0:00:00,,,,,RS,T,2016,15.02999973,0,0,120,0,20,,0,115,0,0
SOLEDAD #1,Atwater-Merced,ATWATER-MERCED,132042,Orchard Maintenance,ATWATER-MERCED,10004,115,SUB/000,012/003,Stockton,ST,L,9/17/2016,12/17/2016,9/17/2016,,,,12/17/2016 0:00:00,,,,,OM,T,2016,2.200000048,0,0,20,0,,Orchards,0,115,0,0
Chualar 60kv Tap-*,Auberry Tap,Auberry 70kv Tap,133744,Local Maintenance,Auberry 70kv Tap,70093A,70,000/010,002/005,Fresno,FR,S,2/25/2016,3/2/2016,2/25/2016,,,,3/2/2016 0:00:00,,,,,RT,T,2016,0,2.220000029,0,1,0,2.220000029,70kV,0,70,0,0
CR Aerial Patrol,60/70 kV Repatrol,Auberry 70kv Tap,135584,Local Maintenance,Haas-Woodchuck,70032,70,/,/,Fresno,FR,,8/17/2016,8/17/2016,8/17/2016,,,,8/17/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,0,,0,70,0,0
CR-Midway Hub,60/70 kV Repatrol,Auberry 70kv Tap,135584,Local Maintenance,Dunlap 70kv Tap,70066A,70,/,/,Fresno,FR,,8/17/2016,8/17/2016,8/17/2016,,,,8/17/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,0,,0,70,0,0
CR-Smartville-LOC,60/70 kV Repatrol,Auberry 70kv Tap,135584,Local Maintenance,PG&E Tule-Springville,70064,70,/,/,Fresno,FR,,8/17/2016,8/17/2016,8/17/2016,,,,8/17/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,0,,0,70,0,0
DEL MONTE-FORT ORD #2,60/70 kV Repatrol,Auberry 70kv Tap,135584,Local Maintenance,Auberry 70kv Tap,70093A,70,/,/,Fresno,FR,,8/17/2016,8/17/2016,8/17/2016,,,,8/17/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,0,,0,70,0,0
Dolan RD #1 115kv Tap,Auberry Tap,Auberry 70kv Tap,133744,Local Maintenance,Auberry 70kv Tap,70093A,70,005/042A,000/010,Fresno,FR,S,2/25/2016,3/2/2016,2/25/2016,,,,3/2/2016 0:00:00,,,,,RT,T,2016,0,2.220000029,0,1,0,2.220000029,70kV,0,70,0,0
Dolan RD #1 115kv Tap,Auberry Tap,Auberry 70kv Tap,135269,Local Maintenance,Auberry 70kv Tap,70093A,70,005/042A,000/010,Fresno,FR,,3/24/2016,3/24/2016,3/24/2016,,,,3/24/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,5.980000019,70kV,0,70,0,0
Wesix 70kv Tap,60/70 kV Repatrol,Auberry 70kv Tap,135584,Local Maintenance,Wishon-Coppermine,70093,70,/,/,Fresno,FR,,8/17/2016,8/17/2016,8/17/2016,,,,8/17/2016 0:00:00,,,,,RT,T,2016,0,0,0,1,0,0,,0,70,0,0
SALINAS-FORT ORD #1,Avenal Tap,Avenal 70kv Tap,133491,Local Maintenance,Avenal 70kv Tap,70029B,70,008/000,005/006,Fresno,FR,L,3/27/2016,3/27/2016,3/27/2016,,,,3/27/2016 0:00:00,,,,,RT,T,2016,5.380000114,0,0,1,0,5.340000153,70kV,0,70,0,0
CR - Raisin City,CR Kern Front,Badger Crk (PSE) 115kv Tap,136981,System Maintenence,Double C (PSE) 115kv Tap,10119A,115,011/169,PSE/COG,Kern,KE,,6/22/2016,8/3/2016,6/22/2016,,,,8/3/2016 0:00:00,,,,,RS,T,2016,0,0,0,4,0,15.36999989,Non NERC,0,115,0,0
CR-Tesla Stockton Cogen Jct,CR Kern Front,Badger Crk (PSE) 115kv Tap,136981,System Maintenence,Sierra (PSE) 115kv Tap,10119C,115,011/166,SIE/COG,Kern,KE,,6/22/2016,8/3/2016,6/22/2016,,,,8/3/2016 0:00:00,,,,,RS,T,2016,0,0,0,4,0,15.36999989,Non NERC,0,115,0,0
CR-Tesla Stockton Cogen Jct,CR Kern Front,Badger Crk (PSE) 115kv Tap,136981,System Maintenence,7th Standard Kern,10465,115,???,???,Kern,KE,,6/22/2016,8/3/2016,6/22/2016,,,,8/3/2016 0:00:00,,,,,RS,T,2016,0,0,0,4,0,15.36999989,Non NERC,0,115,0,0
Geysers #3-Cloverdale,CR Kern Front,Badger Crk (PSE) 115kv Tap,136981,System Maintenence,Kern-Kern Front,10119,115,KPR/SUB,KFR/COG,Kern,KE,,6/22/2016,8/3/2016,6/22/2016,,,,8/3/2016 0:00:00,,,,,RS,T,2016,0,0,0,4,0,15.36999989,Non NERC,0,115,0,0
SALINAS-FORT ORD #1,CR Kern Front,Badger Crk (PSE) 115kv Tap,136981,System Maintenence,Badger Crk (PSE) 115kv Tap,10119B,115,001/013,BAD/COG,Kern,KE,,6/22/2016,8/3/2016,6/22/2016,,,,8/3/2016 0:00:00,,,,,RS,T,2016,0,0,0,4,0,15.36999989,Non NERC,0,115,0,0
CR Moss Landing-Metcalf,Balch - McCall - 2,Balch-McCall,135343,System Maintenence,Balch-McCall,20004,230,000/001,008/053,Fresno,FR,S,4/10/2016,4/10/2016,4/10/2016,,,,4/10/2016 0:00:00,,,,,RS,T,2016,0,44.18999863,0,1,0,35,230kv,1,"230,NERC",0,0
Texaco 60kv Tap,Balch - McCall - 1,Balch-McCall,134037,System Maintenence,Balch-McCall,20004,230,008/053,044/219,Fresno,FR,S,2/13/2016,4/17/2016,2/13/2016,,,,4/17/2016 0:00:00,,,,,RS,T,2016,0,36.66999817,0,50,0,30,230kv,1,"230,NERC",0,0
CR Moss Landing-Metcalf,Balch - Sanger - 1,Balch-Sanger,134472,System Maintenence,Balch-Sanger,10011,115,005/031,033/179,Fresno,FR,S,3/9/2016,3/9/2016,2/13/2016,,,,3/13/2016 0:00:00,,,,,RS,T,2016,43.34000015,0,0,1,0,40,115kv,0,115,0,0
KING CITY-COBURN #1,Balch - Sanger - 1,Balch-Sanger,134472,System Maintenence,Balch-Sanger,10011,115,026/177,027/179,Fresno,FR,S,3/9/2016,3/9/2016,2/13/2016,,,,3/13/2016 0:00:00,,,,,RS,T,2016,43.34000015,0,0,1,0,40,115kv,0,115,0,0
KING CITY-COBURN #1,Balch - Sanger - 1,Balch-Sanger,134472,System Maintenence,Balch-Sanger,10011,115,033/179,026/173,Fresno,FR,S,3/9/2016,3/9/2016,2/13/2016,,,,3/13/2016 0:00:00,,,,,RS,T,2016,43.34000015,0,0,1,0,40,115kv,0,115,0,0
