LATITUDE,LONGITUDE,X,Y,Z,PRIORITY,REGION,DIVISION_ID,TREE_COMMENTS,ROLE_TYPE,INSPECTOR_COMPANY,INSPECT_DATE,CUSTOMER_NOTIFICATION_ID,ALERT_ID,TRIM_CODE,INSPECT_WO_NUMBER,TRIM_WO_NUMBER,SPAN_NBR,TREEID,LINE_NAME,LINE_NBR,TREE_TYPE,STREET_NUM,STREET,CITY_ID,COUNTY_ID,DISPATCHR_ID
38.60758528214205,-121.48869954373653,-121.48869954373653,38.60758528214205,,R,SA,SA,,PI,ACR,2016-02-04T21:32:06.340Z,O,,R2D,569fc75b725255882d4bfc6d,,142,E121488699N38607585,DEEPWATER_1_TAP,10350A,COTB,,,,,569fc75a725255882d4bfc5b
38.60774171764873,-121.48868694284798,-121.48868694284798,38.60774171764873,,R,SA,SA,,PI,ACR,2016-02-04T21:28:58.700Z,O,,SD,569fc75b725255882d4bfc6d,,142,E121488686N38607741,DEEPWATER_1_TAP,10350A,COTB,,,,,569fc75b725255882d4bfc6b
38.60776163944038,-121.48849113949112,-121.48849113949112,38.60776163944038,,N,SA,SA,,PI,ACR,2016-02-04T21:53:46.435Z,N,,,569fc75c725255882d4bfc97,,142,E121488491N38607761,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc75b725255882d4bfc7d
38.60774253268093,-121.48844879278636,-121.48844879278636,38.60774253268093,,N,SA,SA,,PI,ACR,2016-02-04T21:53:30.183Z,N,,,569fc75c725255882d4bfc97,,142,E121488448N38607742,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc75b725255882d4bfc7f
38.60764990420446,-121.4882356690118,-121.4882356690118,38.60764990420446,,R,SA,SA,,PI,ACR,2016-02-04T21:48:58.496Z,O,,R2B,569fc75c725255882d4bfc97,,142,E121488235N38607649,DEEPWATER_1_TAP,10350A,COTB,,,,,569fc75b725255882d4bfc89
38.607690268719054,-121.48840325332823,-121.48840325332823,38.607690268719054,,N,SA,SA,,PI,ACR,2016-02-04T21:39:51.321Z,N,,,569fc75c725255882d4bfc97,,142,E121488403N38607690,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc75c725255882d4bfc8f
38.60761111313463,-121.48855458194441,-121.48855458194441,38.60761111313463,,R,SA,SA,,PI,ACR,2016-02-04T21:39:23.787Z,O,,R2D,569fc75c725255882d4bfc97,,142,E121488554N38607611,DEEPWATER_1_TAP,10350A,COTB,,,,,569fc75c725255882d4bfc93
38.60763195257947,-121.48788930689777,-121.48788930689777,38.60763195257947,,N,SA,SA,,PI,ACR,2016-02-04T22:03:22.218Z,N,,,569fc75d725255882d4bfcbe,,142,E121487889N38607631,DEEPWATER_1_TAP,10350A,COTB,,,,,569fc75c725255882d4bfca6
38.6074195081784,-121.48768001985616,-121.48768001985616,38.6074195081784,,R,SA,SA,,PI,ACR,2016-02-04T22:15:36.366Z,O,,R1D,569fc75d725255882d4bfcbe,,142,E121487680N38607419,DEEPWATER_1_TAP,10350A,COTB,,,,,569fc75d725255882d4bfcb0
38.607630156003566,-121.4877065372514,-121.4877065372514,38.607630156003566,,N,SA,SA,,PI,ACR,2016-02-04T22:04:05.646Z,N,,,569fc75d725255882d4bfcbe,,142,E121487706N38607630,DEEPWATER_1_TAP,10350A,COTB,,,,,569fc75d725255882d4bfcb2
